initial date: 2024-02-17, Fecha actual: 2026-02-17
percentil(%),pendent2y,pendent6m,slope1m,slope6d,volatilitat(%),guany esperat(%),perdua max(%),rsi14,relVol30,etiqueta
43,0.150,-0.145,-0.029,-1.884,32,19,-24,39.0,1.41,V
99,0.151,0.185,0.209,0.079,45,1,-82,67.7,0.00,VODJ.SG
0,0.086,0.058,-1.986,-22.715,100,2,-27,40.1,-1.00,0P00001487.F
6,-0.165,-0.214,0.004,-1.267,47,81,-4,42.2,0.40,COLPAL.NS
75,0.190,-0.069,-1.023,-1.895,57,22,-89,28.5,1.32,EBAY
92,0.194,0.200,0.000,-0.000,89,4,-793,100.0,-1.00,ENR.BE
1,-0.064,-0.400,-0.612,-0.120,56,117,-6,26.9,1.19,OWL
29,0.124,-0.342,-0.167,-2.577,14,9,-8,38.7,2.24,LBRDP
1,-0.061,-0.364,-0.862,-0.254,53,106,-3,14.0,1.24,TTAN
98,0.015,0.764,-0.375,1.477,41,3,-63,45.0,0.61,OPCH
25,-0.096,0.194,0.000,-0.000,63,99,-35,100.0,-1.00,0L8.BE
44,-0.157,0.249,0.316,0.107,49,37,-45,63.3,-1.00,1GSN.SG
58,0.144,0.031,-1.772,0.281,39,18,-39,36.0,0.89,PRVA
96,0.020,0.544,-0.101,-0.636,73,13,-234,45.7,1.02,BTU
1,-0.155,-0.121,-2.389,-1.709,60,150,-1,21.3,30.00,JXC1.F
0,0.000,0.000,0.000,0.000,60,150,-1,21.3,30.00,OWY.F
9,-0.120,-0.480,0.148,-3.819,85,289,-70,49.3,0.61,SMCI
85,0.175,0.262,-0.195,-0.900,70,30,-157,28.0,8.48,BH3.F
1,-0.035,-0.532,-1.045,-1.248,70,209,-8,33.0,0.71,ENVX
44,-0.139,0.325,-1.393,-2.411,78,138,-87,32.7,0.62,AMR
39,0.112,-0.550,0.309,0.515,54,43,-51,53.5,0.58,CALM
77,0.129,0.516,-0.920,-1.343,37,18,-35,36.2,-1.00,C9X0.HM
52,-0.155,0.286,0.506,0.137,75,62,-149,79.2,1.03,NEOG
2,-0.173,-0.153,-0.561,-0.607,88,682,-7,31.9,0.49,VERU
51,-0.041,-0.490,0.136,0.962,59,76,-40,50.0,0.89,SIGA
0,-0.046,0.232,-1.308,-4.932,100,12,-7,0.5,0.00,^CRWDBOOK
88,0.180,0.171,-0.187,-1.723,29,2,-37,39.5,0.52,ESGU
99,0.120,0.146,0.331,2.376,8,0,-8,66.4,0.59,MBB
99,0.178,0.190,0.205,0.092,35,1,-52,70.9,1.26,EFV
84,0.178,-0.290,1.441,0.412,5,1,-5,69.0,0.35,STIP
92,0.180,0.178,-0.106,-1.391,29,2,-38,40.7,2.16,IWV
99,0.166,0.149,0.172,0.126,33,1,-48,62.8,0.64,SCZ
99,0.147,0.148,0.122,0.275,27,1,-36,55.0,0.98,EFG
48,-0.019,-0.211,-1.259,1.048,2,0,-2,39.3,0.50,FLOT
92,0.179,0.165,1.361,-0.991,100,15,-207,47.9,0.60,SANN.MX
0,0.000,0.000,0.000,0.000,100,15,-207,47.9,0.60,TEFO.BA
98,0.042,0.128,1.232,2.569,41,1,-68,78.3,-1.00,MV90.F
97,0.096,0.199,-0.043,0.046,62,5,-150,47.7,1.04,CX
97,0.146,0.223,0.029,0.392,93,7,-1274,36.0,0.07,TV.BA
79,0.170,0.159,-0.593,0.309,71,17,-194,41.9,0.82,TSLA
94,0.062,0.296,0.068,2.594,31,7,-36,63.3,0.04,F.MX
64,0.107,0.120,-1.166,-0.172,49,28,-55,44.7,0.00,LVS.MX
28,-0.082,-0.105,0.455,0.000,100,559,-31,60.0,-1.00,^CLTBWOWOM
71,0.042,0.247,-0.833,0.830,60,33,-87,41.7,1.08,FSLR
27,0.089,-0.248,0.026,-0.492,39,27,-30,60.5,0.12,BRKB.MX
34,-0.182,0.244,0.762,-1.781,44,47,-22,52.2,1.07,WU
95,0.044,0.588,0.368,-1.025,39,5,-57,57.0,0.55,GAP
98,0.189,0.186,-0.208,1.941,58,1,-135,56.9,0.85,RL
