initial date: 2024-02-16, Fecha actual: 2026-02-16
percentil(%) , pendent2y, pendent6m, slope1m, slope6d, volatilitat(%) , guany esperat(%) , perdua max(%) , etiqueta
9,-0.039,-0.244,0.000,-0.000,37,45,-10,ADSN.MX
99,0.067,0.540,0.393,-0.164,100,4,-51,DHL.DE
85,0.185,-0.038,0.000,0.000,54,4,-110,FSNUF
83,-0.097,0.014,2.245,4.571,24,5,-26,HEN3.MU
48,0.123,-0.319,-0.042,-0.130,39,35,-23,DB1.F
89,0.145,0.083,0.435,-0.973,79,27,-271,TKA.HA
99,0.075,0.458,0.081,0.809,45,1,-81,IFX.DU
87,0.010,0.410,0.979,0.702,40,15,-46,SDF.DE
84,0.190,0.109,-0.111,-2.703,75,17,-244,CRZBF
60,-0.149,0.433,-0.283,3.423,40,31,-26,MKGAF
32,-0.176,0.054,0.575,1.000,36,25,-26,BDRFY
84,0.068,0.150,1.808,1.188,34,6,-42,CON.DE
15,-0.083,-0.304,0.623,0.741,52,59,-31,LXS.F
39,-0.061,-0.556,0.730,2.880,50,57,-28,BOSSY
84,0.116,0.476,0.000,-0.000,37,7,-47,ACR.BE
97,0.159,0.266,0.276,-0.289,34,6,-44,XCA.SG
0,0.000,0.000,0.000,0.000,34,6,-44,US0091262024.SG
81,0.149,0.072,-1.042,-0.118,43,14,-52,AIR.PA
99,0.167,0.323,0.208,0.181,62,2,-154,ALSO.VI
92,-0.005,0.051,2.523,-0.395,100,16,-51,ALCTL.IS
70,0.177,-0.044,-0.241,2.648,29,11,-26,BSN.F
97,0.147,0.162,0.200,-0.430,42,5,-64,BNP.VI
88,-0.130,0.558,2.267,2.738,30,7,-33,0NPH.IL
26,-0.180,0.244,-0.000,-0.000,48,59,-20,CGM.BE
100,0.115,0.110,2.873,0.153,28,0,-39,SQU.F
0,0.000,0.000,0.000,0.000,28,0,-39,ELP.XD
97,0.125,0.238,0.526,-0.000,44,0,-79,BOUYF
0,0.000,0.000,0.000,0.000,44,0,-79,TTEN.MX
100,0.017,0.332,0.846,0.577,49,1,-94,0RH5.IL
99,0.165,0.325,0.190,0.040,56,1,-126,ENGQF
0,0.000,0.000,0.000,0.000,56,1,-126,KERP.XD
100,0.144,-0.010,0.486,2.103,48,0,-93,LGRVF
0,0.123,-0.080,-0.518,-13.183,100,56,-27,^CLTBLOUIS
99,0.158,0.224,0.190,0.095,66,6,-173,MTS.MC
70,-0.083,-0.066,0.485,1.018,30,16,-23,ORP.XC
0,-0.146,0.127,-1.245,-1.437,32,48,0,PU41.F
2,-0.192,-0.319,-0.266,0.000,54,117,-1,RIP.XC
6,-0.126,-0.047,-0.035,1.103,43,64,-7,RNL.DE
100,0.184,0.141,-0.029,0.781,43,0,-77,SEJ1.DE
0,-0.103,-0.109,0.265,-0.984,30,42,-1,SNW.HM
70,0.129,-0.298,1.670,1.612,38,16,-38,GOB.HA
32,-0.087,-0.106,0.693,4.107,42,39,-23,SOL.DU
99,0.063,0.296,2.978,0.623,31,3,-41,SU.PA
0,0.000,0.000,0.000,0.000,31,3,-41,UNIRF
100,0.045,0.390,2.600,0.673,22,0,-27,VVD.HA
57,0.144,-0.443,0.134,3.857,69,110,-52,VVVNF
88,0.151,0.184,-0.401,-2.133,45,8,-69,0MHJ.IL
0,0.000,0.000,0.000,0.000,45,8,-69,BPEM.XD
73,0.177,0.222,-0.389,-0.232,43,16,-53,BZUM.XC
0,-0.083,-0.331,0.803,-8.819,100,330,-10,STLAPP.XC
93,0.179,0.119,-0.476,0.091,69,11,-191,LDO.VI
90,0.192,0.122,-0.000,-0.000,46,0,-85,ARZGF
0,-0.195,0.000,0.000,0.000,100,13,-24,LUX
32,-0.073,0.235,-0.119,5.943,34,36,-12,MOV0.F
0,0.000,0.000,0.000,0.000,34,36,-12,MFEAM.XD
100,0.180,0.181,0.189,0.221,67,0,-205,TQI.F
100,0.178,0.263,0.474,0.221,27,0,-38,TRN.VI
0,-0.097,-0.035,-0.020,-4.464,100,1817,-34,^CLTBAZUKI
99,0.193,0.196,0.121,0.034,64,2,-170,ACS.MC
89,0.160,0.086,0.000,-0.000,50,8,-85,AJ3.BE
92,0.168,0.194,-0.132,-0.874,65,15,-146,BBVA
86,0.185,0.177,-0.133,-2.599,62,10,-138,BKT.MC
92,0.132,0.769,0.216,-0.590,100,10,-131,BYMAD.BA
91,0.191,0.196,0.013,-1.431,65,14,-153,CABK.MC
96,0.192,0.224,0.672,0.090,51,3,-98,ELE.MC
100,-0.002,0.336,2.384,1.134,22,0,-29,ENG.MC
50,-0.097,0.035,1.170,1.098,41,32,-29,0HAA.IL
99,0.188,0.185,0.276,0.073,47,1,-85,FER.AS
70,0.161,-0.156,0.827,-1.684,30,7,-34,NTGY.MC
80,0.125,-0.204,0.582,0.000,51,14,-80,GIKLY
52,0.177,-0.120,-2.270,-0.593,86,94,-257,RDDT
100,0.189,0.251,0.286,0.196,48,0,-91,IBE.MC
96,0.171,0.253,-0.236,0.297,77,13,-280,ISMAY
100,0.067,0.744,0.401,0.164,32,0,-46,0QWI.IL
78,0.190,0.080,-0.414,-2.257,55,13,-97,MAP.MC
82,0.158,0.415,-0.231,-1.272,44,14,-57,SOLV
55,0.051,-0.310,0.197,0.522,52,49,-40,OHLA.MC
0,0.000,0.000,0.000,0.000,52,49,-40,US7565681019.SG
99,0.043,0.307,0.744,0.118,44,1,-77,REP.MC
99,0.203,0.156,0.391,0.182,82,2,-458,Y5C.SG
100,0.132,0.209,0.289,0.163,37,0,-59,SCYR.MC
0,0.029,-0.290,-1.472,-0.137,62,164,-0,KVYO
99,0.184,0.116,0.421,0.528,79,2,-357,TRE.MC
0,-0.146,-0.148,0.990,-0.000,100,312000,-400,SLNAF
4,-0.112,-0.274,-1.073,-1.131,77,260,-18,ARBE
0,0.070,-0.757,-0.604,-0.200,64,175,-2,ODD
1,-0.190,-0.196,-0.169,0.069,87,628,-6,VFSWW
18,-0.027,-0.466,0.619,-0.023,54,64,-32,O9T.SG
100,0.185,0.192,0.109,0.345,64,0,-179,D8Y0.SG
30,0.139,-0.523,-1.868,-1.886,59,83,-34,IBIT
30,0.139,-0.522,-1.862,-1.880,59,83,-34,ARKB
61,0.146,-0.137,-1.156,-0.950,48,32,-46,NTES.VI
0,-0.055,-0.229,-0.352,-0.204,62,163,-1,0JOQ.IL
0,0.000,0.000,0.000,0.000,62,163,-1,US89677Q1076.SG
8,-0.191,-0.162,-0.087,0.714,87,495,-27,XOS
1,-0.172,-0.441,-0.616,-0.137,95,1625,-10,GSOL
0,0.000,0.000,0.000,0.000,95,1625,-10,US4234031049.SG
83,0.182,0.147,-0.205,-1.726,33,4,-42,OEF
3,-0.143,-0.241,-1.772,-0.223,6,4,-3,SRLN
0,-0.019,-0.157,0.471,0.000,100,18,-7,NESNN.MX
100,0.151,0.395,0.282,0.257,50,0,-99,RHHBF
60,18.000,18.000,18.000,18.000,3,1,-2,ABBNE.SW
15,-0.145,-0.118,0.226,-1.827,44,63,-10,ADIA.MU
98,0.177,0.180,0.001,-0.634,42,5,-65,JBARF
98,0.162,0.167,1.218,1.437,29,1,-39,GBRF.F
37,0.044,0.591,-0.420,-6.537,43,49,-18,HCMLY
100,0.159,0.046,0.350,0.171,41,0,-70,SWZCF
88,0.029,0.617,0.113,-2.574,27,5,-31,SGSNZ.XC
83,0.190,0.039,0.492,-1.533,41,8,-56,SLW1.F
54,0.149,-0.386,0.664,1.120,40,16,-43,SR9A.SG
0,0.000,0.000,0.000,0.000,40,16,-43,SYT
88,0.135,0.110,-0.526,-1.064,42,17,-47,0R3T.IL
88,0.189,0.036,0.597,-2.520,37,6,-50,ZURVY
100,0.149,0.149,0.354,0.166,34,0,-52,BBJP
99,0.168,0.179,0.199,0.046,30,1,-41,ESGD
83,0.178,0.153,-0.466,-1.789,29,4,-36,ESGV
0,0.159,0.151,0.030,-14.076,100,1,-44,0JNB.L
0,0.011,-0.050,-2.805,-2.783,100,16,-15,^CLTBROLLS
100,-0.018,0.493,0.288,0.154,30,1,-42,IYE
100,0.002,0.408,0.279,0.154,32,1,-44,IXC
99,0.187,0.130,0.082,-0.126,28,1,-38,ICVT
100,0.178,0.165,0.148,0.189,34,0,-52,IFRA
93,0.169,0.366,0.172,-0.032,61,17,-121,MRX
0,0.056,-0.059,-4.628,0.000,100,0,-112,DWLAF
37,-0.083,0.139,0.956,-0.521,32,21,-21,RIGD.IL
98,0.069,0.690,0.288,-0.145,31,3,-41,AXISBANK.NS
99,-0.009,0.795,0.197,0.215,33,2,-46,SID.F
81,0.163,0.042,0.468,-0.339,52,16,-80,MHID.IL
0,-0.135,0.084,-1.897,-0.846,44,78,-1,ACN
64,0.013,0.355,-0.504,-4.229,51,34,-53,AAL
97,0.141,0.109,0.285,1.426,100,7,-53,ABBVD.BA
99,0.071,0.283,0.201,0.197,41,2,-65,TATASTEEL.NS
26,-0.059,0.276,0.000,-0.000,100,35,-39,BIIB.SN
0,0.000,0.000,0.000,0.000,100,35,-39,PARA.VI
15,-0.128,-0.167,0.750,0.343,47,68,-12,CMCSA.MX
93,0.169,0.192,0.000,0.000,43,2,-72,CFX.BE
94,0.122,-0.062,0.742,0.743,35,6,-44,COST
37,0.067,-0.000,0.000,-0.000,100,0,-21,CVSCL.SN
0,0.000,0.000,0.000,0.000,100,0,-21,EMKR
100,0.192,0.206,0.379,0.080,59,1,-145,GILD
71,0.145,-0.269,0.489,7.821,100,241,-18,GPRO.MX
94,0.191,0.182,-0.173,-0.577,61,8,-135,GS
83,-0.037,0.092,2.387,1.482,27,11,-24,ALD.MU
0,0.000,0.000,0.000,0.000,27,11,-24,KEL.SG
46,-0.142,0.280,-0.000,0.000,75,111,-91,MKO.BE
61,0.059,-0.101,-0.571,-0.514,35,19,-28,LOW.MX
85,-0.034,0.577,0.249,-0.668,55,13,-96,MACY.VI
98,0.175,0.344,0.491,-0.249,47,6,-79,MCK.F
79,0.107,0.265,0.702,0.000,29,8,-30,MDTN.MX
21,-0.110,-0.458,-0.962,2.189,17,17,-3,MET-PF
19,0.120,-0.326,-1.708,-2.223,41,44,-17,PCE1.SG
85,0.159,-0.055,0.952,1.457,59,10,-122,PM.MX
0,0.000,0.000,0.000,0.000,59,10,-122,PSX.BA
0,0.087,-0.495,-2.518,-0.298,51,99,-3,PYPL.BA
5,-0.045,-0.223,-0.000,-0.000,100,20,-5,QCOMCL.SN
85,-0.041,0.196,2.154,4.487,22,4,-23,L3H.DU
2,-0.152,-0.271,-0.131,0.240,56,113,-7,S
17,0.009,-0.436,-1.314,-0.000,47,63,-17,SHAK.MX
44,-0.173,0.236,0.325,-0.136,55,70,-32,DYH.HA
66,-0.047,-0.076,2.035,15.789,25,14,-18,UNP.MX
43,-0.150,0.279,0.761,0.286,46,39,-35,UPS.MX
0,0.000,0.000,0.000,0.000,46,39,-35,WBA.MX
