initial date: 2024-02-14, Fecha actual: 2026-02-14
percentil(%)  -  pendent anual  - volatilitat(%) - guany esperat(%) - etiqueta 
37,0.046,44,49,-21,HCMLY
100,0.159,41,0,-70,SWZCF
88,0.029,27,5,-31,SGSNZ.XC
83,0.189,41,8,-56,SLW1.F
54,0.149,40,16,-43,SR9A.SG
88,0.135,42,17,-47,0R3T.IL
88,0.188,37,6,-50,ZURVY
100,0.149,34,0,-52,BBJP
99,0.168,30,1,-41,ESGD
83,0.178,29,4,-36,ESGV
100,0.161,100,1,-47,0JNB.L
92,0.016,100,5,-28,^CLTBROLLS
100,0.003,32,1,-44,IXC
99,0.187,28,1,-38,ICVT
100,0.178,35,0,-54,IFRA
93,0.169,61,17,-121,MRX
0,0.053,100,0,-112,DWLAF
98,0.069,31,3,-41,AXISBANK.NS
81,0.163,57,16,-98,MHID.IL
63,0.011,51,34,-53,AAL
97,0.141,100,7,-53,ABBVD.BA
99,0.072,41,2,-65,TATASTEEL.NS
93,0.168,43,2,-72,CFX.BE
94,0.123,35,6,-44,COST
38,0.069,100,0,-21,CVSCL.SN
100,0.191,59,1,-145,GILD
71,0.145,100,241,-18,GPRO.MX
94,0.191,61,8,-139,GS
61,0.061,35,19,-28,LOW.MX
98,0.175,47,6,-79,MCK.F
79,0.107,29,8,-30,MDTN.MX
19,0.120,41,44,-17,PCE1.SG
85,0.159,59,10,-122,PM.MX
0,0.088,51,99,-3,PYPL.BA
17,0.011,57,63,-43,SHAK.MX
90,0.182,50,11,-79,WFC
100,0.172,100,0,-120,0LXB.L
99,0.035,49,2,-91,VLO
91,0.175,40,12,-49,ABG.F
29,0.125,48,36,-42,KR.MX
92,0.165,57,10,-113,GM.MX
97,0.015,46,8,-71,MPC
97,0.198,69,6,-207,CAH.BA
86,0.111,33,12,-33,ET
100,0.114,100,0,-36,0S23.L
100,0.132,43,0,-74,SYY.BA
74,0.120,52,20,-74,DAL.MX
93,0.163,68,8,-189,UAL
100,0.131,39,1,-63,DEER.VI
100,0.193,66,0,-198,SNEX
94,0.103,34,6,-44,GD
91,0.170,36,5,-49,TJX.F
93,0.142,26,4,-30,EXEC.VI
97,0.102,54,7,-101,IP.BA
97,0.157,50,1,-97,BKR.MX
86,0.114,38,11,-45,EMR.F
99,0.132,34,3,-49,NTH.MU
67,0.062,33,13,-33,AFL.SG
20,0.102,40,51,-12,ABT.MX
98,0.116,100,5,-57,0LHY.L
91,0.010,100,8,-63,4LLY.TI
9,0.046,100,43,-9,0KOC.L
98,0.153,53,4,-106,CUM.F
98,0.126,53,6,-102,LUV.MX
99,0.097,31,1,-43,NSCO.VI
92,0.127,92,41,-747,LUMN
99,0.179,41,1,-69,MO
100,0.152,58,0,-138,THC1.F
51,0.012,26,16,-16,UA9.F
60,0.027,38,23,-31,GLP
68,0.058,53,29,-66,TMO.BA
100,0.086,41,0,-71,NEE
92,0.190,53,9,-97,BONY.VI
98,0.163,60,5,-138,JBL.MU
70,0.107,53,20,-77,KMI.MX
98,0.017,37,4,-53,BMY
79,0.180,69,15,-182,NRA.F
initial date: 2024-02-14, Fecha actual: 2026-02-14
percentil(%)  -  pendent anual  - volatilitat(%) - guany esperat(%) - etiqueta 
0,-0.152,36,53,-3,OMC
100,0.015,27,0,-37,ITW
25,-0.090,36,36,-14,MUSA
100,0.138,100,0,-38,0IPB.L
49,0.074,34,23,-24,0AK.F
99,0.169,100,3,-50,0JVI.L
99,0.170,29,1,-39,ECL
49,0.077,35,22,-25,WMI.MX
64,-0.142,49,21,-63,APA.MX
0,-0.182,30,43,0,T1XT34.SA
97,0.157,44,7,-69,SNX
0,0.000,44,7,-69,US92556H1077.SG
86,0.159,100,14,-57,0JV3.L
0,0.000,100,14,-57,JWN.MX
38,-0.137,51,65,-23,EIX.BE
92,0.050,23,10,-19,TGR.MU
93,0.157,40,2,-65,PAR.BE
48,-0.107,49,37,-43,TRL.SG
